type,geometry_type,geometry_coordinates,properties_state,properties_code,properties_name,properties_zone,properties_address,geometry
Feature,Point,"[83.869978, 24.42644]",,MDJ,MUHAMMADGANJ,,,
Feature,Point,"[83.84911, 24.386582]",,SZF,SATBAHINI,,,
Feature,Point,"[83.834497, 24.34094]",,URD,UNTARE ROAD,,,
Feature,Point,"[83.837652, 24.296038000000003]",,KRTA,KARKATA,,,
Feature,Point,"[83.853323, 24.260566999999998]",,SQS,SIGSIGI,,,
Feature,Point,"[85.520249, 23.617327]",,RMT,RAMGARH CANT,,,
Feature,Point,"[85.469553, 23.624159]",,BRKA,BARKAKANA,,,
Feature,Point,"[85.626042, 23.574668000000003]",,MAEL,MAEL,,,
Feature,Point,"[85.3721452, 23.6375642]",,BHKD,BHURKUNDA,,,
Feature,Point,"[85.64647599999999, 23.568766]",,BRKP,BARKIPONA,,,
Feature,Point,"[85.30587700000001, 23.667024]",,PTRU,PATRATU,,,
Feature,Point,"[85.697139, 23.545551]",,GRE,GOLA ROAD,,,
Feature,Point,"[85.239282, 23.678639]",,TKS,TOKISUD,,,
Feature,Point,"[85.76022876969999, 23.4999492658]",,HRBR,HARUBERA,,,
Feature,Point,"[85.169817, 23.697803]",,HNDR,HENDEGIR,,,
Feature,Point,"[85.782435799, 23.476936582300002]",,SND,SONDIMRA,,,
Feature,Point,"[85.104901, 23.695961]",,KOLE,KOLE,,,
Feature,Point,"[85.833473, 23.449913]",,BLNG,BARLANGA,,,
Feature,Point,"[85.077816, 23.690082]",,RAY,RAY,,,
Feature,Point,"[85.001627, 23.651055]",,KLRE,KHALARI,,,
Feature,Point,"[84.940855, 23.651781]",,MGME,MCCLUSKIEGANJ,,,
Feature,Point,"[84.854527, 23.662240999999998]",,MMLN,MAHUAMILAN,,,
Feature,Point,"[84.739774, 23.680808]",,TORI,TORI,,,
Feature,Point,"[84.646426, 23.682881000000002]",,CTQ,CHETAR,,,
Feature,Point,"[84.91385700000001, 22.233321]",,KCAB,K-CABIN BONDAMUNDA,,,
Feature,Point,"[84.945577, 22.23969]",,ACAB,A-CABIN BONDAMUNDA,,,
Feature,Point,"[84.974611, 22.267173000000003]",,LNKC,LINK C-CABIN,,,
Feature,Point,"[85.33352, 23.348811]",,RNC,RANCHI,,,
Feature,Point,"[85.37667200000001, 23.351755]",,NKM,NAMKON,,,
Feature,Point,"[85.435706, 23.369844999999998]",,TIS,TATISILWAI,,,
Feature,Point,"[85.5070501038, 23.3613982411]",,GAG,GANGAGHAT,,,
Feature,Point,"[85.5948557446, 23.360567527599997]",,KWKC,KHERWA KOCHA,,,
Feature,Point,"[85.6089136389, 23.3589592105]",,JON,JONHA,,,
Feature,Point,"[85.76424803159999, 23.364884802800002]",,KITA,KITA,,,
Feature,Point,"[85.82812938660001, 23.351563397099998]",,SLF,SILLI,,,
Feature,Point,"[85.8669906885, 23.376284371]",,MURI,MURI,,,
Feature,Point,"[85.902125, 23.378363]",,THO,TULIN,,,
Feature,Point,"[85.97528199999999, 23.370005]",,JAA,JHALIDA,,,
Feature,Point,"[86.01258700000001, 23.383687]",,BKDR,BEGUN KUDAR,,,
Feature,Point,"[86.079548, 23.411691]",,KSX,KOTSHILA,,,
Feature,Point,"[86.08981, 23.451359999999998]",,DRGU,DAMRU GHUTU,,,
Feature,,,,RPMY,RPMY,,,
Feature,,,,NFKS,NFKS,,,
Feature,,,,NFKN,NFKN,,,
Feature,Point,"[86.08957600000001, 23.508909]",,PNW,PUNDHAG,,,
Feature,Point,"[86.08906499999999, 23.59787]",,RDF,RADHAGAON,,,
Feature,Point,"[86.08772599999999, 23.649514]",,BKCA,BOKARO STEEL CITY A CABIN,,,
Feature,Point,"[86.08501600000001, 23.656551]",,BKSC,BOKARO STEEL CITY,,,
Feature,Point,"[86.078541, 23.671356]",,BKSN,BKSC NORTH CABIN,,,
Feature,Point,"[86.0638904572, 23.7136175901]",,TKB,TUPKADIH,,,
Feature,Point,"[86.080936, 23.751105]",,RJB,RAJABERA,,,
Feature,Point,"[86.119775, 23.755676]",,CRP,CHANDRAPURA,,,
